This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

11/10/2014
12:58 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
24.010	0.676	30.000	4.000	1.000	30.000
24.011	0.965	30.000	4.000	1.000	30.000
24.054	0.956	30.000	4.000	1.000	30.000
24.153	0.944	30.000	4.000	1.000	30.000
24.297	0.931	30.000	4.000	1.000	30.000
24.473	0.923	30.000	4.000	1.000	30.000
24.675	0.918	30.000	4.000	1.000	30.000
24.897	0.912	30.000	4.000	1.000	30.000
25.137	0.908	30.000	4.000	1.000	30.000
25.392	0.905	30.000	4.000	1.000	30.000
25.659	0.900	30.000	4.000	1.000	30.000
25.936	0.898	30.000	4.000	1.000	30.000
26.221	0.896	30.000	4.000	1.000	30.000
26.515	0.893	30.000	4.000	1.000	30.000
26.817	0.893	30.000	4.000	1.000	30.000
27.124	0.891	30.000	4.000	1.000	30.000
27.439	0.889	30.000	4.000	1.000	30.000
27.758	0.888	30.000	4.000	1.000	30.000
28.079	0.878	30.000	4.000	1.000	30.000
28.403	0.824	30.000	4.000	1.000	30.000
28.733	0.751	30.000	4.000	1.000	30.000
29.052	0.678	30.000	4.000	1.000	30.000
29.373	0.603	30.000	4.000	1.000	30.000
29.682	0.531	30.000	4.000	1.000	30.000
29.978	0.465	30.000	4.000	1.000	30.000
30.261	0.396	30.000	4.000	1.000	30.000
30.530	0.333	30.000	4.000	1.000	30.000
30.779	0.273	30.000	4.000	1.000	30.000
31.008	0.219	30.000	4.000	1.000	30.000
31.221	0.164	30.000	4.000	1.000	30.000
31.411	0.122	30.000	4.000	1.000	30.000
31.581	0.072	30.000	4.000	1.000	30.000
31.729	0.032	30.000	4.000	1.000	30.000
31.858	0.002	30.000	4.000	1.000	30.000
31.970	0.000	30.000	4.000	1.000	30.000
32.065	0.000	30.000	4.000	1.000	30.000
32.142	0.000	30.000	4.000	1.000	30.000
32.205	0.000	30.000	4.000	1.000	30.000
32.256	0.000	30.000	4.000	1.000	30.000
32.297	0.000	30.000	4.000	1.000	30.000
32.327	0.000	30.000	4.000	1.000	30.000
32.347	0.000	30.000	4.000	1.000	30.000
32.359	0.000	30.000	4.000	1.000	30.000
32.364	0.458	40.000	4.000	1.000	30.000
32.364	0.964	40.000	4.000	1.000	30.000
32.392	0.959	40.000	4.000	1.000	30.000
32.469	0.950	40.000	4.000	1.000	30.000
32.583	0.940	40.000	4.000	1.000	30.000
32.726	0.931	40.000	4.000	1.000	30.000
32.889	0.926	40.000	4.000	1.000	30.000
33.070	0.921	40.000	4.000	1.000	30.000
33.265	0.917	40.000	4.000	1.000	30.000
33.473	0.914	40.000	4.000	1.000	30.000
33.692	0.911	40.000	4.000	1.000	30.000
33.919	0.910	40.000	4.000	1.000	30.000
34.157	0.908	40.000	4.000	1.000	30.000
34.402	0.905	40.000	4.000	1.000	30.000
34.654	0.903	40.000	4.000	1.000	30.000
34.910	0.902	40.000	4.000	1.000	30.000
35.169	0.901	40.000	4.000	1.000	30.000
35.432	0.901	40.000	4.000	1.000	30.000
35.697	0.901	40.000	4.000	1.000	30.000
35.966	0.899	40.000	4.000	1.000	30.000
36.237	0.898	40.000	4.000	1.000	30.000
36.511	0.898	40.000	4.000	1.000	30.000
36.786	0.898	40.000	4.000	1.000	30.000
37.062	0.898	40.000	4.000	1.000	30.000
37.340	0.898	40.000	4.000	1.000	30.000
37.618	0.898	40.000	4.000	1.000	30.000
37.896	0.898	40.000	4.000	1.000	30.000
38.172	0.873	40.000	4.000	1.000	30.000
38.449	0.820	40.000	4.000	1.000	30.000
38.727	0.759	40.000	4.000	1.000	30.000
39.000	0.699	40.000	4.000	1.000	30.000
39.265	0.639	40.000	4.000	1.000	30.000
39.520	0.581	40.000	4.000	1.000	30.000
39.765	0.526	40.000	4.000	1.000	30.000
39.996	0.472	40.000	4.000	1.000	30.000
40.211	0.422	40.000	4.000	1.000	30.000
40.406	0.376	40.000	4.000	1.000	30.000
40.580	0.335	40.000	4.000	1.000	30.000
40.732	0.300	40.000	4.000	1.000	30.000
40.870	0.267	40.000	4.000	1.000	30.000
40.994	0.236	40.000	4.000	1.000	30.000
41.103	0.208	40.000	4.000	1.000	30.000
41.193	0.184	40.000	4.000	1.000	30.000
41.263	0.166	40.000	4.000	1.000	30.000
41.317	0.150	40.000	4.000	1.000	30.000
41.361	0.136	40.000	4.000	1.000	30.000
41.393	0.125	40.000	4.000	1.000	30.000
41.414	0.116	40.000	4.000	1.000	30.000
41.424	0.109	40.000	4.000	1.000	30.000
41.424	0.106	40.000	4.000	1.000	30.000
41.415	0.104	40.000	4.000	1.000	30.000
41.397	0.104	40.000	4.000	1.000	30.000
41.373	0.105	40.000	4.000	1.000	30.000
41.341	0.109	40.000	4.000	1.000	30.000
41.303	0.114	40.000	4.000	1.000	30.000
41.260	0.121	40.000	4.000	1.000	30.000
41.211	0.128	40.000	4.000	1.000	30.000
41.158	0.137	40.000	4.000	1.000	30.000
41.103	0.147	40.000	4.000	1.000	30.000
41.045	0.156	40.000	4.000	1.000	30.000
40.982	0.168	40.000	4.000	1.000	30.000
40.915	0.181	40.000	4.000	1.000	30.000
40.838	0.197	40.000	4.000	1.000	30.000
40.761	0.214	40.000	4.000	1.000	30.000
40.685	0.229	40.000	4.000	1.000	30.000
40.612	0.244	40.000	4.000	1.000	30.000
40.543	0.257	40.000	4.000	1.000	30.000
40.476	0.271	40.000	4.000	1.000	30.000
40.413	0.284	40.000	4.000	1.000	30.000
40.357	0.294	40.000	4.000	1.000	30.000
40.308	0.304	40.000	4.000	1.000	30.000
40.265	0.313	40.000	4.000	1.000	30.000
40.226	0.320	40.000	4.000	1.000	30.000
40.190	0.327	40.000	4.000	1.000	30.000
40.157	0.334	40.000	4.000	1.000	30.000
40.128	0.340	40.000	4.000	1.000	30.000
40.102	0.344	40.000	4.000	1.000	30.000
40.080	0.349	40.000	4.000	1.000	30.000
40.061	0.354	40.000	4.000	1.000	30.000
40.043	0.356	40.000	4.000	1.000	30.000
40.027	0.359	40.000	4.000	1.000	30.000
40.013	0.363	40.000	4.000	1.000	30.000
40.005	0.364	40.000	4.000	1.000	30.000
40.002	0.364	40.000	4.000	1.000	30.000
39.999	0.364	40.000	4.000	1.000	30.000
39.997	0.364	40.000	4.000	1.000	30.000
39.994	0.366	40.000	4.000	1.000	30.000
39.992	0.366	40.000	4.000	1.000	30.000
39.992	0.366	40.000	4.000	1.000	30.000
